scenario_seed,method,total_delay_h,total_capital_cost_usd,total_ships_served,total_cargo_value_usd,n_steps,reward
5002,PPO,456.0,92101.71307925046,38,1802120398.070397,14.0,
5003,PPO,444.0,127371.85052644399,37,1635407029.7871082,14.0,
5004,PPO,396.0,127271.69406496517,33,1289632361.3712273,14.0,
5005,PPO,396.0,121078.07154490426,33,1620301966.059848,14.0,
5006,PPO,444.0,240835.33513458056,37,2195888473.254532,14.0,
5007,PPO,468.0,112087.68280572673,39,1223065597.16369,14.0,
5008,PPO,432.0,84577.1002196737,36,973493029.6106889,14.0,
5009,PPO,516.0,203529.91160010154,43,2391026055.5270047,14.0,
5010,PPO,432.0,58807.415406883105,36,639572579.2408023,14.0,
5011,PPO,432.0,129123.06683966886,35,1366173118.379372,14.0,
5012,PPO,396.0,146427.46769975906,33,1761507525.0500612,14.0,
5013,PPO,444.0,160093.64232894554,36,1651312170.6942902,14.0,
5014,PPO,432.0,133947.88004766003,36,1544556955.3726351,14.0,
5015,PPO,528.0,197559.34149342997,43,2006835715.783894,14.0,
5016,PPO,492.0,120284.20970327775,41,1792301485.310343,14.0,
5017,PPO,324.0,109735.43764480615,27,1131981531.6631463,14.0,
5018,PPO,480.0,94879.02942516138,40,1038406925.4264913,14.0,
5019,PPO,384.0,44377.5945213162,32,577240021.9950231,14.0,
5020,PPO,528.0,163052.29043637816,43,1765079278.7895122,14.0,
5021,PPO,288.0,130563.25699487161,24,1292621553.142017,14.0,
5022,PPO,384.0,130540.05456141375,32,1434580057.0163286,14.0,
5023,PPO,540.0,245465.00008676125,45,2440398209.7781987,14.0,
5024,PPO,348.0,179372.9024566859,29,2214521778.5525517,14.0,
5025,PPO,480.0,68716.61351384217,40,849131596.7374856,14.0,
5026,PPO,420.0,163641.97610472323,35,1847971155.734016,14.0,
5027,PPO,360.0,101529.13597462433,30,1075743738.9104514,14.0,
5028,PPO,312.0,144841.49194740542,26,1672091313.9046848,14.0,
5029,PPO,552.0,80863.00084334954,46,956500288.3806845,14.0,
5030,PPO,468.0,112603.94396463878,39,1099085437.7432892,14.0,
5031,PPO,516.0,193891.43484247854,43,2104945569.4178462,14.0,
5032,PPO,408.0,155217.7796887019,34,1627945863.8723838,14.0,
5033,PPO,624.0,168648.04886590136,51,1419416809.2712986,14.0,
5034,PPO,444.0,342937.58634660486,37,3638749760.249109,14.0,
5035,PPO,456.0,185163.42683442132,38,2063377002.9511263,14.0,
5036,PPO,420.0,97154.41959219764,35,1082787733.1015909,14.0,
5037,PPO,480.0,119937.38032786422,40,1542760098.6415002,14.0,
5038,PPO,336.0,138094.683730373,28,1305681771.5953171,14.0,
5039,PPO,504.0,270211.8945301359,42,2721485081.934521,14.0,
5040,PPO,360.0,154011.06201919672,30,1621820617.9952705,14.0,
5041,PPO,408.0,80021.3708573999,34,1645015383.2084656,14.0,
5042,PPO,528.0,118351.56235836555,44,1377737483.6352122,14.0,
5043,PPO,516.0,320896.26576788595,43,3877045778.972834,14.0,
5044,PPO,468.0,76949.91968518564,39,888604874.995094,14.0,
5045,PPO,432.0,337425.65976465435,36,3746704361.032252,14.0,
5046,PPO,432.0,170300.60363175988,36,2013017273.3768468,14.0,
5047,PPO,480.0,141730.65017939603,39,1460324615.786146,14.0,
5048,PPO,420.0,141620.18521672784,35,1614563966.0254428,14.0,
5049,PPO,516.0,276612.0987462015,43,2856412681.8905663,14.0,
